"source_file","sample_id","fo","k","j","i","fm","fluorojip_FvFm","vendor_FvFm","fluorojip_Mo","vendor_Mo","fluorojip_ABS_RC","vendor_ABS_RC","fluorojip_TRo_RC","vendor_TRo_RC","fluorojip_ETo_RC","vendor_ETo_RC","fluorojip_DIo_RC","vendor_DIo_RC","fluorojip_psi_Eo","vendor_Psi_o","fluorojip_phi_Eo","vendor_Phi_Eo","fluorojip_PI_abs","vendor_PI_abs","diff_FvFm","diff_Mo","diff_ABS_RC","diff_TRo_RC","diff_ETo_RC","diff_DIo_RC","diff_Psi_o","diff_Phi_Eo","diff_PI_abs"
"FluorPen - test 3.xlsx","15",4785,6051,8653,15154,26131,0.816884,0.822,0.237234,0.237,1.60268,1.631,1.309204,1.34,1.07197,1.104,0.293476,0.29,0.818795,0.823,0.668861,0.677,12.577464,1.3207,-0.0051159999999999,0.000234000000000012,-0.0283199999999999,-0.030796,-0.03203,0.00347600000000003,-0.0042049999999999,-0.00813900000000001,11.256764
"FluorPen - test 3.xlsx","16",5917,8777,14434,23277,36769,0.839076,0.838,0.370803,0.382,1.600803,1.685,1.343196,1.412,0.972393,1.03,0.257607,0.273,0.72394,0.729,0.607441,0.611,8.541678,8.278,0.00107600000000008,-0.011197,-0.0841970000000001,-0.0688039999999999,-0.0576070000000001,-0.015393,-0.00505999999999995,-0.00355899999999998,0.263677999999999
"FluorPen - test 3.xlsx","17",5583,8464,13868,22332,35642,0.843359,0.842,0.383379,0.399,1.649295,1.751,1.390947,1.475,1.007568,1.075,0.258347,0.276,0.724375,0.729,0.610908,0.614,8.579349,8.211,0.001359,-0.015621,-0.101705,-0.0840530000000002,-0.0674319999999999,-0.017653,-0.00462499999999999,-0.00309199999999998,0.368349
"FluorPen - test 3.xlsx","18",6729,10305,16027,23765,36509,0.815689,0.814,0.480322,0.493,1.886007,1.981,1.538395,1.612,1.058073,1.118,0.347611,0.369,0.687777,0.694,0.561012,0.565,5.169086,4.994,0.00168900000000005,-0.012678,-0.0949930000000001,-0.0736050000000001,-0.0599270000000001,-0.021389,-0.00622299999999998,-0.00398799999999999,0.175086
"FluorPen - test 3.xlsx","19",5682,9002,14097,20747,34875,0.837075,0.834,0.454904,0.471,1.885296,1.997,1.578134,1.666,1.123231,1.195,0.307161,0.331,0.711746,0.717,0.595785,0.598,6.728956,6.387,0.00307500000000005,-0.016096,-0.111704,-0.087866,-0.071769,-0.023839,-0.00525399999999998,-0.00221499999999997,0.341956000000001
"FluorPen - test 3.xlsx","20",5353,7916,12332,19650,32023,0.832839,0.831,0.384402,0.393,1.763821,1.848,1.468978,1.535,1.084576,1.142,0.294842,0.313,0.73832,0.744,0.614902,0.618,7.969773,7.713,0.00183900000000004,-0.00859799999999999,-0.084179,-0.066022,-0.0574239999999999,-0.018158,-0.00568000000000002,-0.00309800000000005,0.256773
"FluorPen - test 3.xlsx","21",7022,11346,17523,25033,37160,0.811033,0.808,0.573893,0.589,2.030843,2.135,1.647081,1.725,1.073188,1.136,0.383762,0.41,0.651569,0.659,0.528445,0.532,3.952044,3.802,0.00303299999999995,-0.015107,-0.104157,-0.0779190000000001,-0.0628119999999999,-0.026238,-0.00743100000000008,-0.00355499999999997,0.150044
"FluorPen - test 3.xlsx","22",4095,4095,4095,4095,4095,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FluorPen - test 3.xlsx","23",5884,8550,13297,19929,33908,0.826472,0.828,0.380531,0.393,1.740597,1.828,1.438554,1.513,1.058023,1.121,0.302043,0.315,0.735477,0.741,0.607851,0.613,7.607892,7.511,-0.00152799999999997,-0.012469,-0.0874030000000001,-0.0744459999999998,-0.0629770000000001,-0.012957,-0.00552299999999994,-0.00514899999999996,0.0968919999999995
"FluorPen - test 3.xlsx","24",6762,10858,17685,25586,36802,0.81626,0.815,0.545406,0.564,1.837594,1.937,1.499954,1.578,0.954548,1.014,0.337639,0.359,0.636385,0.643,0.519455,0.524,4.231098,4.085,0.00126000000000004,-0.018594,-0.0994060000000001,-0.0780460000000001,-0.0594520000000001,-0.021361,-0.00661500000000004,-0.00454500000000002,0.146098
"FluorPen - test 3.xlsx","25",5593,8604,13868,21226,36131,0.845202,0.843,0.394394,0.404,1.722036,1.802,1.455468,1.52,1.061074,1.116,0.266567,0.282,0.729026,0.734,0.616174,0.619,8.530399,8.253,0.00220200000000004,-0.009606,-0.0799640000000001,-0.064532,-0.054926,-0.015433,-0.00497400000000003,-0.002826,0.277398999999999
"FluorPen - test 3.xlsx","26",6079,8973,14564,22172,35859,0.830475,0.829,0.388717,0.4,1.642783,1.728,1.36429,1.433,0.975573,1.033,0.278493,0.295,0.715077,0.721,0.593854,0.598,7.484076,7.255,0.001475,-0.011283,-0.0852169999999999,-0.06871,-0.0574269999999999,-0.016507,-0.00592300000000001,-0.00414599999999998,0.229076
"FluorPen - test 3.xlsx","27",5314,7956,12512,18913,32482,0.836402,0.835,0.388987,0.401,1.755359,1.849,1.468186,1.544,1.079199,1.143,0.287174,0.305,0.735056,0.74,0.614802,0.618,8.080464,7.817,0.00140200000000001,-0.012013,-0.0936410000000001,-0.075814,-0.063801,-0.017826,-0.00494399999999995,-0.00319800000000003,0.263463999999999
"FluorPen - test 3.xlsx","28",5284,7946,13150,18474,32252,0.836165,0.834,0.394838,0.411,1.618907,1.719,1.353674,1.434,0.958836,1.023,0.265233,0.285,0.708321,0.713,0.592273,0.595,7.655769,7.281,0.00216500000000008,-0.016162,-0.100093,-0.0803259999999999,-0.0641639999999999,-0.019767,-0.00467899999999999,-0.00272699999999992,0.374769000000001
"FluorPen - test 3.xlsx","29",5712,8813,15603,19172,29830,0.808515,0.806,0.514305,0.542,1.551078,1.661,1.254069,1.339,0.739765,0.797,0.297008,0.323,0.589891,0.595,0.476936,0.479,3.915549,3.67,0.00251499999999993,-0.027695,-0.109922,-0.0849309999999999,-0.057235,-0.025992,-0.00510899999999992,-0.00206399999999995,0.245549
"FluorPen - test 3.xlsx","30",5752,8414,14486,20059,31555,0.817715,0.817,0.412665,0.433,1.490915,1.588,1.219144,1.297,0.806478,0.865,0.271771,0.291,0.661512,0.666,0.540929,0.544,5.880217,5.61,0.000715000000000021,-0.020335,-0.0970850000000001,-0.0778559999999999,-0.058522,-0.019229,-0.00448800000000005,-0.00307100000000005,0.270217
"FluorPen - test 3.xlsx","31",8680,14792,22660,23050,34136,0.745723,0.735,0.960402,0.975,2.345085,2.457,1.748784,1.807,0.788382,0.832,0.596301,0.65,0.450817,0.46,0.336185,0.338,1.026586,0.964,0.010723,-0.014598,-0.111915,-0.058216,-0.0436179999999999,-0.0536990000000001,-0.009183,-0.00181500000000001,0.062586
"FluorPen - test 3.xlsx","32",7575,11378,16580,25748,37290,0.796862,0.794,0.51193,0.518,2.119919,2.206,1.689284,1.753,1.177354,1.235,0.430635,0.454,0.696954,0.705,0.555377,0.56,4.255692,4.178,0.00286199999999992,-0.00607000000000002,-0.0860810000000001,-0.0637159999999999,-0.0576460000000001,-0.023365,-0.008046,-0.00462300000000004,0.0776919999999999
"FluorPen - test 3.xlsx","33",5949,8745,14727,19246,29097,0.795546,0.795,0.483152,0.499,1.601535,1.684,1.274094,1.338,0.790942,0.839,0.32744,0.346,0.620788,0.627,0.493865,0.498,3.977355,3.866,0.000545999999999935,-0.015848,-0.082465,-0.063906,-0.0480579999999999,-0.01856,-0.006212,-0.004135,0.111355
"FluorPen - test 3.xlsx","34",6177,9818,16808,21359,31243,0.802292,0.802,0.581026,0.607,1.707553,1.808,1.369956,1.45,0.78893,0.843,0.337597,0.359,0.57588,0.581,0.462023,0.466,3.226828,3.102,0.000291999999999959,-0.0259739999999999,-0.100447,-0.080044,-0.05407,-0.021403,-0.00512000000000001,-0.00397700000000001,0.124828
"FluorPen - test 3.xlsx","35",5513,8045,13060,17766,28783,0.808463,0.807,0.435239,0.451,1.659927,1.753,1.34199,1.415,0.906752,0.964,0.317937,0.338,0.675677,0.681,0.54626,0.55,5.297616,5.103,0.00146299999999999,-0.015761,-0.093073,-0.07301,-0.057248,-0.020063,-0.00532300000000008,-0.00374000000000008,0.194616
"FluorPen - test 3.xlsx","36",4805,6131,9361,12073,21724,0.778816,0.793,0.313494,0.325,1.494806,1.549,1.164179,1.229,0.850685,0.904,0.330627,0.32,0.730717,0.735,0.569094,0.584,6.391997,6.894,-0.0141840000000001,-0.011506,-0.0541939999999999,-0.064821,-0.053315,0.010627,-0.00428300000000004,-0.014906,-0.502003
"FluorPen - test 3.xlsx","37",5982,8842,14337,22237,33356,0.820662,0.821,0.417915,0.436,1.668458,1.774,1.36924,1.456,0.951325,1.02,0.299218,0.317,0.694783,0.701,0.570182,0.575,6.243352,6.053,-0.000337999999999949,-0.018085,-0.105542,-0.0867599999999999,-0.068675,-0.017782,-0.00621699999999992,-0.00481799999999999,0.190352
"FluorPen - test 3.xlsx","38",5453,7746,11674,16639,30368,0.820436,0.819,0.368132,0.376,1.797046,1.877,1.474361,1.538,1.106229,1.162,0.322685,0.339,0.750311,0.756,0.615582,0.619,7.640263,7.476,0.0014360000000001,-0.00786799999999999,-0.0799540000000001,-0.063639,-0.055771,-0.016315,-0.00568900000000006,-0.00341800000000003,0.164263
"FluorPen - test 3.xlsx","39",6502,10663,17620,22725,30690,0.788139,0.783,0.68811,0.708,1.89945,1.999,1.497032,1.566,0.808922,0.858,0.402419,0.433,0.540351,0.548,0.425872,0.429,2.302364,2.19,0.005139,-0.01989,-0.09955,-0.0689680000000001,-0.049078,-0.030581,-0.00764900000000002,-0.00312800000000002,0.112364
"FluorPen - test 3.xlsx","40",6534,10305,15345,25651,38070,0.828369,0.826,0.478311,0.487,2.066653,2.164,1.711951,1.786,1.23364,1.299,0.354702,0.377,0.720605,0.727,0.596927,0.601,6.023357,5.837,0.00236900000000007,-0.008689,-0.0973470000000001,-0.074049,-0.0653599999999999,-0.022298,-0.00639499999999993,-0.00407299999999999,0.186357
"FluorPen - test 3.xlsx","41",6177,9428,14109,19734,34201,0.819391,0.816,0.464031,0.464,2.000797,2.065,1.639435,1.685,1.175404,1.221,0.361361,0.379,0.716957,0.725,0.587468,0.591,5.743678,5.659,0.00339100000000003,3.10000000000032e-05,-0.064203,-0.0455650000000001,-0.0455960000000002,-0.017639,-0.00804300000000002,-0.00353199999999998,0.0846780000000003
"FluorPen - test 3.xlsx","42",7184,11476,17425,24643,35144,0.795584,0.792,0.61402,0.631,2.10713,2.218,1.676399,1.757,1.062379,1.127,0.430731,0.461,0.633727,0.641,0.504183,0.508,3.195776,3.071,0.00358399999999992,-0.01698,-0.11087,-0.0806009999999999,-0.064621,-0.030269,-0.00727299999999997,-0.00381699999999996,0.124776
"FluorPen - test 3.xlsx","43",6307,9558,15572,21652,33128,0.809617,0.808,0.484844,0.504,1.733612,1.834,1.403562,1.482,0.918718,0.978,0.33005,0.352,0.654562,0.66,0.529944,0.534,4.648154,4.467,0.00161699999999998,-0.019156,-0.100388,-0.078438,-0.0592819999999999,-0.02195,-0.00543800000000005,-0.00405600000000006,0.181154
"FluorPen - test 3.xlsx","44",6567,10403,16678,21359,32641,0.798811,0.795,0.588479,0.61,1.899767,2.015,1.517555,1.603,0.929076,0.992,0.382212,0.412,0.612219,0.619,0.489048,0.492,3.299596,3.137,0.00381100000000001,-0.021521,-0.115233,-0.085445,-0.062924,-0.029788,-0.00678100000000004,-0.00295200000000001,0.162596
"FluorPen - test 3.xlsx","45",7054,10273,14922,23570,35306,0.800204,0.798,0.455755,0.456,2.045107,2.109,1.636502,1.682,1.180747,1.227,0.408604,0.426,0.721506,0.729,0.577352,0.582,5.073678,5.034,0.00220399999999998,-0.000244999999999995,-0.0638930000000002,-0.045498,-0.0462530000000001,-0.017396,-0.007494,-0.00464799999999999,0.0396780000000003
"FluorPen - test 3.xlsx","46",5294,8055,13858,17796,33588,0.842384,0.842,0.39033,0.41,1.530874,1.632,1.289584,1.374,0.899254,0.964,0.24129,0.258,0.697321,0.702,0.587412,0.591,8.04306,7.685,0.000384000000000051,-0.01967,-0.101126,-0.084416,-0.064746,-0.01671,-0.00467899999999999,-0.00358799999999992,0.358060000000001
"FluorPen - test 3.xlsx","47",5712,8474,13200,20179,32631,0.824952,0.824,0.410416,0.424,1.788501,1.887,1.475427,1.554,1.065011,1.13,0.313074,0.333,0.721832,0.727,0.595477,0.599,6.837711,6.598,0.000952000000000064,-0.013584,-0.0984990000000001,-0.078573,-0.064989,-0.019926,-0.00516799999999995,-0.00352299999999994,0.239711
"FluorPen - test 3.xlsx","48",6827,10403,16645,21814,34136,0.800006,0.799,0.523783,0.548,1.821131,1.936,1.456916,1.546,0.933133,0.999,0.364216,0.39,0.640485,0.646,0.512392,0.516,3.913147,3.737,0.00100599999999995,-0.024217,-0.114869,-0.0890839999999999,-0.065867,-0.025784,-0.00551500000000005,-0.00360800000000006,0.176147
