"source_file","sample_id","fo","k","j","i","fm","fluorojip_FvFm","vendor_FvFm","fluorojip_Mo","vendor_Mo","fluorojip_ABS_RC","vendor_ABS_RC","fluorojip_TRo_RC","vendor_TRo_RC","fluorojip_ETo_RC","vendor_ETo_RC","fluorojip_DIo_RC","vendor_DIo_RC","fluorojip_psi_Eo","vendor_Psi_o","fluorojip_phi_Eo","vendor_Phi_Eo","fluorojip_PI_abs","vendor_PI_abs","diff_FvFm","diff_Mo","diff_ABS_RC","diff_TRo_RC","diff_ETo_RC","diff_DIo_RC","diff_Psi_o","diff_Phi_Eo","diff_PI_abs"
"FluorPen - test 1.xlsx","1",4317,5952,8883,11026,19142,0.774475,0.775,0.441147,0.451,1.849415,1.929,1.432326,1.495,0.991179,1.045,0.417089,0.433,0.692007,0.699,0.535942,0.542,4.172029,4.145,-0.000524999999999998,-0.009853,-0.0795849999999998,-0.0626739999999999,-0.0538209999999999,-0.015911,-0.00699299999999992,-0.00605800000000001,0.0270289999999997
"FluorPen - test 1.xlsx","2",3778,4616,7138,8803,16380,0.769353,0.791,0.26599,0.277,1.296699,1.333,0.997619,1.054,0.73163,0.777,0.29908,0.278,0.733376,0.737,0.564225,0.583,7.075629,7.982,-0.0216470000000001,-0.01101,-0.0363010000000001,-0.056381,-0.04537,0.02108,-0.00362399999999996,-0.018775,-0.906371000000001
"FluorPen - test 1.xlsx","3",4336,6171,11126,9890,12043,0.639957,0.641,0.952381,1.017,1.689179,1.805,1.081001,1.157,0.128621,0.14,0.608177,0.648,0.118983,0.121,0.076144,0.078,0.142108,0.136,-0.00104300000000002,-0.0646189999999999,-0.115821,-0.0759989999999999,-0.011379,-0.0398230000000001,-0.00201699999999999,-0.001856,0.006108
"FluorPen - test 1.xlsx","4",5692,7926,11714,10667,15772,0.639107,0.638,0.886508,0.911,2.321821,2.421,1.483892,1.545,0.597384,0.634,0.837928,0.875,0.402579,0.41,0.257291,0.262,0.513971,0.507,0.00110699999999997,-0.0244920000000001,-0.0991790000000004,-0.0611079999999999,-0.036616,-0.037072,-0.00742099999999996,-0.00470900000000002,0.00697099999999995
"FluorPen - test 1.xlsx","5",3419,4097,5842,7028,13878,0.753639,0.765,0.259298,0.261,1.485159,1.5,1.119274,1.148,0.859975,0.887,0.365886,0.352,0.768333,0.773,0.579046,0.591,6.831319,7.392,-0.0113610000000001,-0.00170200000000004,-0.0148410000000001,-0.028726,-0.027025,0.013886,-0.00466699999999998,-0.011954,-0.560681000000001
"FluorPen - test 1.xlsx","6",4845,6600,9890,12243,22721,0.786761,0.787,0.392705,0.405,1.768614,1.859,1.391477,1.463,0.998771,1.058,0.377137,0.396,0.717778,0.723,0.56472,0.569,5.305702,5.205,-0.000238999999999989,-0.012295,-0.0903860000000001,-0.071523,-0.0592290000000001,-0.018863,-0.00522199999999995,-0.00427999999999995,0.100702
"FluorPen - test 1.xlsx","7",5483,6031,6939,7666,11056,0.50407,0.51,0.393325,0.383,2.986676,2.968,1.505495,1.513,1.11217,1.13,1.481182,1.456,0.73874,0.747,0.372377,0.381,0.962281,1.033,-0.00592999999999999,0.010325,0.0186760000000001,-0.00750500000000009,-0.01783,0.025182,-0.00826000000000005,-0.00862299999999999,-0.0707189999999999
"FluorPen - test 1.xlsx","8",3818,4715,6969,7856,16221,0.764626,0.771,0.289285,0.294,1.489206,1.532,1.138686,1.181,0.849401,0.887,0.35052,0.351,0.745949,0.751,0.570372,0.579,6.405059,6.622,-0.00637399999999999,-0.00471499999999997,-0.0427939999999998,-0.0423139999999997,-0.037599,-0.00047999999999998,-0.00505100000000003,-0.00862799999999997,-0.216941
"FluorPen - test 1.xlsx","9",4336,5882,9920,11096,20438,0.787846,0.79,0.384052,0.404,1.405668,1.494,1.10745,1.18,0.723398,0.776,0.298218,0.314,0.653211,0.658,0.51463,0.519,4.976175,4.831,-0.00215399999999999,-0.019948,-0.0883320000000003,-0.0725500000000001,-0.052602,-0.015782,-0.00478900000000004,-0.00436999999999999,0.145174999999999
"FluorPen - test 1.xlsx","10",6502,10078,15312,17523,22432,0.710146,0.708,0.897928,0.929,2.286303,2.407,1.62361,1.703,0.725681,0.774,0.662694,0.703,0.446955,0.454,0.317404,0.322,0.866042,0.838,0.00214600000000009,-0.0310720000000001,-0.120697,-0.0793900000000001,-0.048319,-0.040306,-0.00704500000000002,-0.00459599999999999,0.028042
"FluorPen - test 1.xlsx","11",4835,6550,10159,12013,20209,0.76075,0.772,0.446208,0.465,1.693729,1.77,1.288505,1.366,0.842297,0.901,0.405224,0.404,0.653701,0.659,0.497303,0.509,3.543842,3.697,-0.01125,-0.018792,-0.076271,-0.0774950000000001,-0.0587030000000001,0.00122399999999995,-0.00529900000000005,-0.011697,-0.153158
"FluorPen - test 1.xlsx","12",5902,8195,12173,15932,26041,0.773357,0.784,0.455435,0.464,1.891242,1.944,1.462606,1.524,1.007171,1.06,0.428636,0.421,0.688614,0.695,0.532545,0.545,3.989962,4.257,-0.0106430000000001,-0.00856500000000004,-0.0527580000000001,-0.0613939999999999,-0.052829,0.00763600000000003,-0.006386,-0.012455,-0.267038
"FluorPen - test 1.xlsx","13",3918,5892,9272,12322,15473,0.746785,0.749,0.683341,0.713,1.974847,2.086,1.474785,1.563,0.791445,0.85,0.500061,0.523,0.536651,0.544,0.400763,0.407,1.729639,1.706,-0.00221499999999997,-0.029659,-0.111153,-0.0882150000000002,-0.058555,-0.022939,-0.00734900000000005,-0.00623699999999999,0.023639
"FluorPen - test 1.xlsx","14",3429,4257,6590,7357,14586,0.764912,0.771,0.296854,0.302,1.369792,1.406,1.04777,1.083,0.750916,0.781,0.322022,0.322,0.71668,0.721,0.548197,0.556,6.008605,6.183,-0.00608799999999998,-0.00514599999999998,-0.036208,-0.0352299999999999,-0.030084,2.19999999999665e-05,-0.00431999999999999,-0.007803,-0.174395
"FluorPen - test 1.xlsx","15",4426,5692,8793,13688,23040,0.807899,0.811,0.272053,0.278,1.435335,1.49,1.159606,1.208,0.887553,0.93,0.275729,0.281,0.765392,0.77,0.618359,0.625,9.559062,9.652,-0.00310100000000002,-0.00594700000000004,-0.054665,-0.048394,-0.042447,-0.00527100000000003,-0.00460800000000006,-0.00664100000000001,-0.0929380000000002
"FluorPen - test 1.xlsx","16",4436,6141,9780,13080,23838,0.813911,0.815,0.35151,0.362,1.567983,1.645,1.276198,1.341,0.924687,0.978,0.291785,0.305,0.724564,0.73,0.589731,0.595,7.337883,7.226,-0.0010889999999999,-0.01049,-0.0770170000000001,-0.064802,-0.0533129999999999,-0.013215,-0.005436,-0.00526899999999997,0.111882999999999
"FluorPen - test 1.xlsx","17",4735,6460,10249,8853,14705,0.678001,0.682,0.692076,0.725,1.845662,1.944,1.25136,1.325,0.559284,0.6,0.594302,0.619,0.446941,0.453,0.303026,0.309,0.921937,0.911,-0.00399900000000009,-0.032924,-0.0983380000000003,-0.0736399999999999,-0.040716,-0.024698,-0.00605900000000004,-0.00597399999999998,0.010937
"FluorPen - test 1.xlsx","18",4466,6041,9521,13170,22043,0.797396,0.799,0.358423,0.368,1.562951,1.631,1.246291,1.304,0.887868,0.936,0.31666,0.327,0.712408,0.718,0.568071,0.574,6.237826,6.215,-0.00160400000000005,-0.009577,-0.0680489999999998,-0.057709,-0.0481320000000001,-0.01034,-0.00559199999999993,-0.00592899999999996,0.0228260000000002
"FluorPen - test 1.xlsx","19",5483,7826,12103,15303,26779,0.79525,0.795,0.440083,0.452,1.780207,1.865,1.41571,1.482,0.975627,1.031,0.364497,0.383,0.689144,0.695,0.548041,0.553,4.836809,4.736,0.000249999999999972,-0.011917,-0.0847929999999997,-0.0662899999999997,-0.0553729999999999,-0.018503,-0.00585599999999997,-0.00495900000000005,0.100809
"FluorPen - test 1.xlsx","20",5819,8192,11541,14402,25228,0.769344,0.769,0.489051,0.488,2.156202,2.215,1.658861,1.704,1.169809,1.216,0.497342,0.511,0.705188,0.714,0.542532,0.549,3.700204,3.749,0.000344000000000011,0.00105100000000002,-0.0587979999999999,-0.045139,-0.0461909999999999,-0.013658,-0.00881199999999993,-0.00646800000000003,-0.0487959999999998
"FluorPen - test 1.xlsx","21",3968,5264,8095,8813,14835,0.732524,0.741,0.477041,0.496,1.71478,1.786,1.256118,1.323,0.779078,0.828,0.458662,0.463,0.620226,0.625,0.454331,0.463,2.608285,2.673,-0.00847600000000004,-0.018959,-0.0712200000000001,-0.0668819999999999,-0.0489219999999999,-0.00433800000000001,-0.00477399999999994,-0.00866900000000004,-0.0647150000000001
"FluorPen - test 1.xlsx","22",5613,7417,9940,11196,14984,0.6254,0.648,0.770035,0.788,2.666561,2.688,1.667668,1.742,0.897633,0.954,0.998892,0.946,0.538256,0.548,0.336626,0.355,0.72984,0.829,-0.0226000000000001,-0.017965,-0.021439,-0.0743319999999998,-0.0563669999999999,0.0528920000000001,-0.00974400000000009,-0.018374,-0.0991599999999999
"FluorPen - test 1.xlsx","23",6827,10045,14922,19961,28187,0.757796,0.764,0.602622,0.616,2.098344,2.174,1.590117,1.66,0.987496,1.043,0.508227,0.514,0.621021,0.629,0.470607,0.48,2.443346,2.515,-0.00620399999999999,-0.013378,-0.0756560000000004,-0.0698830000000001,-0.0555039999999999,-0.00577300000000003,-0.00797899999999996,-0.00939299999999998,-0.0716539999999997
"FluorPen - test 1.xlsx","24",4317,5692,8833,10109,17208,0.749128,0.758,0.426654,0.443,1.625745,1.696,1.217892,1.285,0.791238,0.842,0.407854,0.411,0.649678,0.655,0.486692,0.496,3.4063,3.503,-0.00887199999999999,-0.016346,-0.0702550000000002,-0.0671079999999999,-0.050762,-0.00314599999999998,-0.00532200000000005,-0.00930799999999998,-0.0967000000000002
"FluorPen - test 1.xlsx","25",6242,8550,12224,10728,17783,0.648991,0.648,0.799931,0.805,2.377995,2.441,1.543297,1.582,0.743366,0.777,0.834699,0.859,0.481674,0.491,0.312602,0.318,0.722535,0.729,0.000990999999999964,-0.0050690000000001,-0.063005,-0.0387029999999999,-0.0336340000000001,-0.024301,-0.009326,-0.00539800000000001,-0.00646499999999994
"FluorPen - test 1.xlsx","26",4137,5333,8683,8245,16330,0.746663,0.752,0.392356,0.412,1.40941,1.488,1.052354,1.118,0.659997,0.707,0.357056,0.369,0.627163,0.632,0.468279,0.475,3.517624,3.491,-0.00533700000000004,-0.019644,-0.0785899999999999,-0.0656459999999999,-0.047003,-0.011944,-0.00483699999999998,-0.00672099999999998,0.0266239999999995
"FluorPen - test 1.xlsx","27",4287,5662,8454,10927,16011,0.732247,0.74,0.469123,0.488,1.802527,1.887,1.319894,1.396,0.850771,0.908,0.482633,0.491,0.644575,0.651,0.471988,0.481,2.75148,2.805,-0.00775300000000001,-0.018877,-0.0844729999999998,-0.076106,-0.057229,-0.00836700000000001,-0.00642500000000001,-0.00901199999999996,-0.0535200000000002
"FluorPen - test 1.xlsx","28",6209,8550,12029,17100,26073,0.761861,0.761,0.471406,0.476,2.111848,2.188,1.608935,1.665,1.137529,1.189,0.502914,0.523,0.707008,0.714,0.538642,0.543,3.655528,3.634,0.000861000000000001,-0.00459399999999999,-0.076152,-0.0560649999999998,-0.051471,-0.020086,-0.006992,-0.00435800000000008,0.0215280000000004
"FluorPen - test 1.xlsx","29",3938,5294,8135,9461,17278,0.77208,0.774,0.406597,0.422,1.673857,1.761,1.292352,1.363,0.885755,0.941,0.381505,0.398,0.685382,0.691,0.52917,0.534,4.40871,4.338,-0.00192000000000003,-0.015403,-0.087143,-0.070648,-0.055245,-0.016495,-0.0056179999999999,-0.00483,0.0707100000000001
"FluorPen - test 1.xlsx","30",4915,6679,10498,10707,17726,0.722724,0.725,0.550777,0.576,1.748713,1.847,1.263837,1.338,0.71306,0.763,0.484877,0.508,0.564203,0.57,0.407763,0.413,1.929707,1.89,-0.00227599999999994,-0.025223,-0.098287,-0.074163,-0.04994,-0.023123,-0.00579699999999994,-0.00523699999999999,0.0397070000000002
"FluorPen - test 1.xlsx","31",5722,7916,12572,10637,19062,0.699822,0.703,0.657871,0.685,1.830706,1.921,1.281168,1.351,0.623297,0.666,0.549538,0.57,0.486507,0.493,0.340468,0.347,1.206545,1.2,-0.0031779999999999,-0.0271290000000001,-0.0902940000000001,-0.0698319999999999,-0.042703,-0.020462,-0.00649299999999997,-0.00653199999999998,0.00654500000000002
"FluorPen - test 1.xlsx","32",5851,8517,14467,12874,23212,0.747932,0.747,0.61425,0.644,1.654826,1.758,1.237697,1.313,0.623447,0.669,0.417128,0.445,0.503715,0.509,0.376745,0.38,1.819896,1.743,0.000932000000000044,-0.0297500000000001,-0.103174,-0.0753030000000001,-0.0455530000000001,-0.027872,-0.00528499999999998,-0.00325500000000001,0.0768960000000001
"FluorPen - test 1.xlsx","33",6339,9233,14694,14694,25846,0.75474,0.759,0.593428,0.621,1.835756,1.939,1.385518,1.472,0.79209,0.852,0.450238,0.467,0.571692,0.578,0.431479,0.439,2.23749,2.232,-0.00426000000000004,-0.027572,-0.103244,-0.0864819999999999,-0.05991,-0.016762,-0.00630799999999998,-0.007521,0.00548999999999999
"FluorPen - test 1.xlsx","34",8647,10988,13199,10988,14434,0.400928,0.388,1.61811,1.61,5.130886,5.345,2.057118,2.077,0.439008,0.467,3.073768,0.3269,0.213409,0.225,0.085562,0.087,0.035388,0.034,0.012928,0.00810999999999984,-0.214114,-0.019882,-0.027992,2.746868,-0.011591,-0.00143799999999999,0.001388
"FluorPen - test 1.xlsx","35",6892,9623,14337,14402,21099,0.673349,0.684,0.768917,0.8,2.179097,2.266,1.467293,1.549,0.698377,0.749,0.711803,0.717,0.475963,0.484,0.320489,0.331,0.859194,0.893,-0.0106510000000001,-0.0310830000000001,-0.086903,-0.081707,-0.050623,-0.00519700000000001,-0.00803699999999996,-0.010511,-0.033806
"FluorPen - test 1.xlsx","36",6112,7997,11508,11313,19083,0.679715,0.698,0.581297,0.607,2.055761,2.123,1.397331,1.481,0.816035,0.874,0.65843,0.641,0.583995,0.59,0.39695,0.412,1.4492,1.565,-0.018285,-0.025703,-0.0672390000000003,-0.0836689999999998,-0.057965,0.0174299999999999,-0.00600499999999993,-0.01505,-0.1158
"FluorPen - test 1.xlsx","37",6957,9948,14369,22042,31080,0.776158,0.781,0.495958,0.496,2.079652,2.119,1.614139,1.654,1.118181,1.159,0.465513,0.464,0.692741,0.7,0.537677,0.547,3.759115,3.93,-0.00484200000000001,-4.19999999999865e-05,-0.0393480000000004,-0.0398609999999999,-0.0408189999999999,0.00151299999999999,-0.0072589999999999,-0.00932300000000008,-0.170885
"FluorPen - test 1.xlsx","38",5982,8322,11736,14044,25358,0.764098,0.766,0.483072,0.495,2.128908,2.228,1.626694,1.708,1.143623,1.213,0.502213,0.521,0.703035,0.71,0.537187,0.544,3.601902,3.604,-0.00190199999999996,-0.011928,-0.0990920000000002,-0.0813060000000001,-0.0693769999999998,-0.018787,-0.006965,-0.00681300000000007,-0.00209800000000016
"FluorPen - test 1.xlsx","39",4336,5752,8783,10767,21744,0.800589,0.803,0.325368,0.332,1.590914,1.653,1.273668,1.327,0.9483,0.995,0.317246,0.325,0.744543,0.75,0.596072,0.602,7.355028,7.395,-0.00241100000000005,-0.00663200000000003,-0.0620860000000001,-0.0533319999999999,-0.0467,-0.00775400000000004,-0.00545700000000005,-0.00592799999999993,-0.0399720000000006
"FluorPen - test 1.xlsx","40",7217,10078,13784,15247,22920,0.685122,0.684,0.728778,0.739,2.543565,2.639,1.742653,1.805,1.013875,1.065,0.800912,0.834,0.5818,0.59,0.398604,0.404,1.190069,1.182,0.00112199999999996,-0.010222,-0.0954349999999997,-0.0623470000000002,-0.0511249999999999,-0.033088,-0.00819999999999999,-0.00539600000000001,0.0080690000000001
"FluorPen - test 1.xlsx","41",7640,9980,12419,10468,17068,0.552379,0.548,0.992787,0.979,3.545699,3.626,1.958569,1.985,0.965781,1.007,1.58713,1.64,0.493106,0.507,0.272381,0.278,0.338569,0.343,0.00437899999999991,0.013787,-0.0803010000000004,-0.0264310000000001,-0.0412190000000001,-0.05287,-0.013894,-0.00561900000000004,-0.00443100000000002
"FluorPen - test 1.xlsx","42",3240,3918,6241,8564,13060,0.751914,0.768,0.276171,0.286,1.201864,1.235,0.903699,0.948,0.627528,0.662,0.298165,0.287,0.694399,0.699,0.522129,0.536,5.730147,6.209,-0.016086,-0.00982899999999998,-0.0331359999999998,-0.0443009999999999,-0.0344720000000001,0.011165,-0.00460099999999997,-0.0138710000000001,-0.478853
"FluorPen - test 1.xlsx","43",5917,8387,13166,11476,18856,0.686201,0.686,0.763583,0.796,1.986222,2.094,1.362947,1.437,0.599364,0.642,0.623275,0.656,0.439756,0.446,0.301761,0.307,0.864183,0.844,0.000200999999999896,-0.032417,-0.107778,-0.0740529999999999,-0.042636,-0.032725,-0.00624400000000003,-0.00523899999999999,0.0201830000000001
"FluorPen - test 1.xlsx","44",6664,9428,13134,16092,25033,0.733791,0.743,0.601884,0.609,2.328741,2.383,1.70881,1.771,1.106926,1.161,0.619931,0.612,0.647776,0.656,0.475333,0.487,2.176885,2.313,-0.00920900000000002,-0.00711600000000001,-0.0542590000000001,-0.0621900000000002,-0.054074,0.00793100000000002,-0.00822400000000001,-0.011667,-0.136115
"FluorPen - test 1.xlsx","45",5274,7178,10637,9900,18115,0.70886,0.707,0.5931,0.604,2.003358,2.084,1.420101,1.474,0.827,0.87,0.583258,0.61,0.582353,0.59,0.412807,0.417,1.694641,1.669,0.00186000000000008,-0.0109,-0.0806420000000001,-0.0538989999999999,-0.043,-0.0267419999999999,-0.00764699999999996,-0.004193,0.025641
"FluorPen - test 1.xlsx","46",6469,8875,12289,13004,20774,0.688601,0.687,0.672772,0.684,2.401402,2.504,1.653608,1.721,0.980836,1.037,0.747794,0.783,0.593149,0.603,0.408443,0.414,1.342501,1.332,0.00160099999999996,-0.011228,-0.102598,-0.0673920000000001,-0.0561640000000001,-0.0352060000000001,-0.00985099999999994,-0.00555699999999998,0.0105010000000001
"FluorPen - test 1.xlsx","47",4935,6839,10847,12133,19242,0.74353,0.744,0.532327,0.552,1.732583,1.822,1.288227,1.356,0.755901,0.804,0.444356,0.466,0.586776,0.593,0.436285,0.441,2.376039,2.326,-0.00046999999999997,-0.0196730000000001,-0.0894169999999999,-0.0677729999999999,-0.048099,-0.0216440000000001,-0.00622400000000001,-0.00471500000000002,0.0500390000000004
"FluorPen - test 1.xlsx","48",5563,7946,11844,13329,20757,0.731994,0.729,0.627353,0.644,2.073231,2.176,1.517593,1.587,0.89024,0.943,0.555638,0.589,0.586613,0.594,0.429397,0.434,1.869435,1.816,0.00299400000000005,-0.016647,-0.102769,-0.069407,-0.0527599999999999,-0.033362,-0.00738699999999992,-0.00460300000000002,0.0534349999999999
"FluorPen - test 1.xlsx","49",7022,9265,13459,10371,18888,0.62823,0.636,0.75611,0.76,2.218643,2.24,1.393817,1.424,0.637707,0.664,0.824826,0.815,0.457526,0.466,0.287431,0.297,0.642381,0.682,-0.00777000000000005,-0.00389000000000006,-0.0213569999999996,-0.0301829999999998,-0.026293,0.009826,-0.00847400000000004,-0.00956899999999999,-0.0396190000000001
"FluorPen - test 1.xlsx","50",6274,9363,13914,16483,27926,0.775335,0.775,0.570663,0.583,2.085909,2.173,1.617277,1.684,1.046614,1.102,0.468631,0.488,0.647146,0.654,0.501755,0.507,3.034345,3.002,0.000334999999999974,-0.0123369999999999,-0.087091,-0.0667229999999999,-0.0553859999999999,-0.019369,-0.00685400000000003,-0.00524500000000006,0.0323450000000003
"FluorPen - test 1.xlsx","51",10273,12679,13036,13329,17523,0.413742,0.403,1.327448,1.258,8.418703,8.874,3.48317,3.573,2.155722,2.315,4.935532,0.5301,0.618897,0.648,0.256063,0.261,0.136135,0.14,0.010742,0.069448,-0.455296999999998,-0.0898300000000005,-0.159278,4.405432,-0.029103,-0.00493700000000002,-0.00386500000000001
"FluorPen - test 1.xlsx","52",6762,7737,9038,8940,10793,0.373483,0.379,0.967502,0.992,4.587982,4.723,1.713533,1.792,0.746031,0.799,2.87445,0.2932,0.435376,0.446,0.162605,0.169,0.100189,0.104,-0.00551699999999999,-0.024498,-0.135018000000001,-0.0784669999999998,-0.052969,2.58125,-0.010624,-0.00639500000000001,-0.00381099999999999
"FluorPen - test 1.xlsx","53",5982,7770,10988,10371,17230,0.652815,0.657,0.635846,0.645,2.1885,2.247,1.428686,1.476,0.792839,0.831,0.759815,0.771,0.554943,0.563,0.362275,0.37,1.07131,1.099,-0.00418499999999999,-0.009154,-0.0585,-0.0473140000000001,-0.038161,-0.011185,-0.00805699999999998,-0.00772499999999998,-0.02769
"FluorPen - test 1.xlsx","54",9688,11899,13882,12029,16548,0.414552,0.408,1.289213,1.248,5.086765,5.147,2.108727,2.1,0.819514,0.853,2.978039,0.3046,0.38863,0.406,0.161107,0.166,0.088487,0.092,0.006552,0.0412129999999999,-0.0602350000000005,0.00872699999999993,-0.033486,2.673439,-0.0173700000000001,-0.00489300000000001,-0.003513
"FluorPen - test 1.xlsx","55",7249,11476,17328,23050,31470,0.769654,0.764,0.698072,0.719,2.179613,2.312,1.677547,1.766,0.979475,1.047,0.502066,0.546,0.583873,0.593,0.44938,0.453,2.150938,2.034,0.00565399999999994,-0.0209279999999999,-0.132387,-0.0884530000000001,-0.0675250000000002,-0.043934,-0.009127,-0.00362000000000001,0.116938
"FluorPen - test 1.xlsx","56",6469,9785,15605,15605,21847,0.703895,0.702,0.862531,0.903,2.062578,2.19,1.451839,1.539,0.589308,0.635,0.610739,0.652,0.405905,0.413,0.285714,0.29,0.787445,0.758,0.00189500000000009,-0.040469,-0.127422,-0.087161,-0.045692,-0.041261,-0.00709499999999996,-0.00428599999999996,0.0294449999999999
"FluorPen - test 1.xlsx","57",6079,8908,13362,17263,27699,0.780534,0.778,0.523404,0.53,1.990632,2.072,1.553755,1.611,1.030351,1.082,0.436877,0.461,0.663136,0.671,0.5176,0.522,3.517066,3.443,0.00253399999999993,-0.00659600000000005,-0.0813680000000001,-0.057245,-0.0516490000000001,-0.024123,-0.00786400000000009,-0.00440000000000007,0.0740659999999997
"FluorPen - test 1.xlsx","58",4845,6640,9890,13299,22582,0.785449,0.79,0.404804,0.413,1.811947,1.877,1.423191,1.483,1.018388,1.07,0.388756,0.394,0.715566,0.722,0.562041,0.57,5.082879,5.196,-0.00455100000000008,-0.00819599999999998,-0.065053,-0.059809,-0.0516119999999998,-0.00524400000000003,-0.00643399999999994,-0.00795899999999994,-0.113121
"FluorPen - test 1.xlsx","59",4047,5264,7736,11106,19301,0.790322,0.793,0.319129,0.319,1.669698,1.704,1.319599,1.352,1.000469,1.033,0.350099,0.353,0.758162,0.764,0.599192,0.606,7.077006,7.289,-0.00267800000000007,0.00012899999999999,-0.0343020000000001,-0.0324009999999999,-0.0325309999999999,-0.00290099999999999,-0.00583800000000001,-0.00680800000000004,-0.211994
"FluorPen - test 1.xlsx","60",6079,8712,12971,17133,26594,0.771415,0.776,0.51338,0.525,1.980969,2.051,1.528149,1.592,1.014768,1.068,0.452821,0.459,0.664051,0.67,0.512258,0.521,3.367357,3.444,-0.00458500000000006,-0.0116200000000001,-0.0700309999999997,-0.0638509999999999,-0.0532320000000002,-0.00617900000000005,-0.00594900000000009,-0.00874200000000003,-0.0766429999999998
"FluorPen - test 1.xlsx","61",5819,8387,12711,15052,26659,0.781725,0.782,0.492898,0.51,1.906584,2.011,1.490424,1.573,0.997525,1.062,0.41616,0.438,0.66929,0.676,0.5232,0.528,3.801545,3.716,-0.000275000000000025,-0.017102,-0.104416,-0.082576,-0.0644750000000001,-0.02184,-0.00670999999999999,-0.00480000000000003,0.0855449999999998
"FluorPen - test 1.xlsx","62",3310,4117,6001,7487,15971,0.792749,0.796,0.254956,0.26,1.513157,1.567,1.199554,1.248,0.944598,0.988,0.313603,0.319,0.787458,0.792,0.624256,0.631,9.365642,9.489,-0.003251,-0.00504399999999999,-0.0538429999999996,-0.048446,-0.0434019999999999,-0.00539699999999999,-0.00454200000000005,-0.00674399999999997,-0.123358000000001
"FluorPen - test 1.xlsx","63",4925,6689,9631,14296,24785,0.801291,0.803,0.355287,0.356,1.871183,1.923,1.499363,1.544,1.144076,1.188,0.371821,0.379,0.763041,0.769,0.611418,0.618,6.939562,7.063,-0.00170900000000007,-0.000712999999999964,-0.051817,-0.044637,-0.0439239999999999,-0.00717899999999999,-0.00595900000000005,-0.00658199999999998,-0.123438
"FluorPen - test 1.xlsx","64",5591,7672,11248,15897,25065,0.77694,0.78,0.427442,0.438,1.893906,1.974,1.471451,1.538,1.04401,1.101,0.422455,0.435,0.70951,0.715,0.551247,0.558,4.491949,4.505,-0.00306000000000006,-0.010558,-0.0800940000000001,-0.066549,-0.0569899999999999,-0.012545,-0.00548999999999999,-0.00675300000000001,-0.0130509999999999
"FluorPen - test 1.xlsx","65",5917,8680,13036,18693,30332,0.804925,0.805,0.452673,0.462,1.928707,2.015,1.552465,1.623,1.099793,1.16,0.376242,0.393,0.708417,0.715,0.570223,0.576,5.197753,5.147,-7.50000000000473e-05,-0.00932700000000003,-0.0862929999999997,-0.070535,-0.0602069999999999,-0.016758,-0.00658300000000001,-0.00577699999999992,0.0507529999999994
"FluorPen - test 1.xlsx","66",6632,10663,15930,19279,31113,0.786842,0.783,0.658633,0.673,2.203921,2.314,1.734136,1.812,1.075503,1.139,0.469784,0.502,0.620195,0.629,0.487995,0.492,2.734996,2.638,0.00384200000000001,-0.014367,-0.110079,-0.0778639999999999,-0.0634969999999999,-0.032216,-0.00880499999999995,-0.00400499999999998,0.0969959999999999
"FluorPen - test 1.xlsx","67",6112,9005,13459,14402,20091,0.695784,0.695,0.827813,0.851,2.263726,2.367,1.575065,1.644,0.747252,0.793,0.688661,0.723,0.474426,0.482,0.330098,0.335,0.912018,0.895,0.000784000000000007,-0.023187,-0.103274,-0.0689350000000002,-0.045748,-0.034339,-0.00757399999999997,-0.00490200000000002,0.017018
"FluorPen - test 1.xlsx","68",3908,5533,9531,11615,20428,0.808694,0.809,0.393462,0.411,1.429424,1.516,1.155967,1.227,0.762504,0.816,0.273457,0.289,0.659625,0.665,0.533435,0.538,5.731038,5.56,-0.000306000000000028,-0.017538,-0.086576,-0.0710329999999999,-0.053496,-0.015543,-0.00537500000000002,-0.00456500000000004,0.171037999999999
"FluorPen - test 1.xlsx","69",4566,6370,10269,14117,27098,0.8315,0.833,0.320256,0.331,1.521706,1.6,1.265299,1.334,0.945043,1.002,0.256407,0.267,0.746893,0.752,0.621042,0.626,9.569475,9.457,-0.00149999999999995,-0.010744,-0.0782940000000001,-0.0687010000000001,-0.056957,-0.010593,-0.00510699999999997,-0.00495800000000002,0.112475
"FluorPen - test 1.xlsx","70",5124,7357,11924,14277,23658,0.783414,0.782,0.481925,0.498,1.676674,1.765,1.313529,1.379,0.831604,0.882,0.363145,0.385,0.633107,0.639,0.495984,0.5,3.722619,3.597,0.00141400000000003,-0.016075,-0.0883259999999999,-0.0654710000000001,-0.050396,-0.021855,-0.00589300000000004,-0.00401600000000002,0.125619
"FluorPen - test 1.xlsx","71",4576,6580,10857,13040,22043,0.792406,0.794,0.458923,0.479,1.610576,1.704,1.27623,1.353,0.817307,0.874,0.334346,0.351,0.640408,0.646,0.507463,0.513,4.220822,4.123,-0.00159399999999998,-0.020077,-0.093424,-0.0767700000000002,-0.056693,-0.016654,-0.00559200000000004,-0.00553700000000001,0.0978219999999999
"FluorPen - test 1.xlsx","72",4606,6291,9451,11854,19272,0.761,0.762,0.459566,0.473,1.828021,1.916,1.391125,1.461,0.931559,0.988,0.436896,0.455,0.669644,0.677,0.509599,0.516,3.530762,3.501,-0.001,-0.013434,-0.087979,-0.0698749999999999,-0.056441,-0.018104,-0.00735600000000003,-0.00640099999999999,0.0297619999999998
